"","link","Received","Revised","Accepted","Published","Special_issue","days","is_s_issue"
"1","https://www.mdpi.com/2073-4336/13/6/79",2022-08-24,2022-11-07,2022-11-14,2022-11-22,"(This article belongs to the Special Issue A Yin and Yang Perspective on the Trust Game: Trust and Reciprocity)
",90,"Yes"
"2","https://www.mdpi.com/2073-4336/13/6/78",2022-09-08,2022-11-02,2022-11-08,2022-11-18,"(This article belongs to the Special Issue Strategy-Proof Mechanism Design)
",71,"Yes"
"3","https://www.mdpi.com/2073-4336/13/6/77",2022-10-13,2022-11-08,2022-11-16,2022-11-17,"(This article belongs to the Special Issue Game Theory with Applications to Economics)
",35,"Yes"
"4","https://www.mdpi.com/2073-4336/13/6/76",2022-09-29,2022-11-08,2022-11-14,2022-11-16,"(This article belongs to the Special Issue Learning and Evolution in Games I)
",48,"Yes"
"5","https://www.mdpi.com/2073-4336/13/6/75",2022-10-03,2022-11-06,2022-11-08,2022-11-15,"(This article belongs to the Special Issue Strategy-Proof Mechanism Design)
",43,"Yes"
"6","https://www.mdpi.com/2073-4336/13/6/74",2022-09-29,2022-10-19,2022-10-27,2022-11-03,"(This article belongs to the Special Issue External Validity and Choice-Process Data of Lab Measures on Social Preference Games)
",35,"Yes"
"7","https://www.mdpi.com/2073-4336/13/6/73",2022-09-12,2022-10-07,2022-10-11,2022-11-01,"(This article belongs to the Special Issue Computational Game Theory and Its Applications)
",50,"Yes"
"8","https://www.mdpi.com/2073-4336/13/6/72",2022-09-24,2022-10-23,2022-10-26,2022-10-30,"(This article belongs to the Topic Game Theory and Applications)
",36,"Yes"
"9","https://www.mdpi.com/2073-4336/13/6/71",2022-09-27,2022-10-18,2022-10-21,2022-10-28,"(This article belongs to the Special Issue Economics of Motivated Beliefs)
",31,"Yes"
"10","https://www.mdpi.com/2073-4336/13/6/70",2022-09-04,2022-10-18,2022-10-21,2022-10-27,"(This article belongs to the Topic Game Theory and Applications)
",53,"Yes"
"11","https://www.mdpi.com/2073-4336/13/6/69",2022-09-15,2022-10-20,2022-10-21,2022-10-25,"(This article belongs to the Special Issue Learning and Evolution in Games I)
",40,"Yes"
"12","https://www.mdpi.com/2073-4336/13/5/68",2022-09-02,2022-10-10,2022-10-12,2022-10-16,"",44,"No"
"13","https://www.mdpi.com/2073-4336/13/5/67",2022-09-02,2022-10-10,2022-10-13,2022-10-15,"",43,"No"
"14","https://www.mdpi.com/2073-4336/13/5/66",2022-08-09,2022-09-28,2022-09-30,2022-10-09,"(This article belongs to the Special Issue Game Theory and Its Application in Energy Management and Power Systems)
",61,"Yes"
"15","https://www.mdpi.com/2073-4336/13/5/65",2022-08-12,2022-09-20,2022-09-23,2022-09-30,"(This article belongs to the Special Issue Advances in the Theory and Applications of Contests and Tournaments)
",49,"Yes"
"16","https://www.mdpi.com/2073-4336/13/5/64",2022-08-14,2022-09-18,2022-09-25,2022-09-29,"(This article belongs to the Special Issue Advances in the Theory and Applications of Contests and Tournaments)
",46,"Yes"
"17","https://www.mdpi.com/2073-4336/13/5/63",2022-08-26,2022-09-25,2022-09-27,2022-09-29,"(This article belongs to the Section Market Design and Auctions)
",34,"Yes"
"18","https://www.mdpi.com/2073-4336/13/5/62",2022-05-14,2022-09-03,2022-09-06,2022-09-19,"(This article belongs to the Special Issue Industrial Organization: Theory and Experimental Evidence)
",128,"Yes"
"19","https://www.mdpi.com/2073-4336/13/5/61",2022-08-01,2022-09-05,2022-09-09,2022-09-13,"(This article belongs to the Section Market Design and Auctions)
",43,"Yes"
"20","https://www.mdpi.com/2073-4336/13/5/60",2021-10-13,2022-08-29,2022-08-31,2022-09-06,"(This article belongs to the Special Issue Social Learning and Cultural Evolution)
",328,"Yes"
"21","https://www.mdpi.com/2073-4336/13/5/59",2022-07-10,2022-08-24,2022-08-25,2022-08-31,"(This article belongs to the Special Issue A Yin and Yang Perspective on the Trust Game: Trust and Reciprocity)
",52,"Yes"
"22","https://www.mdpi.com/2073-4336/13/5/58",2022-06-17,2022-08-17,2022-08-19,2022-08-29,"(This article belongs to the Section Applied Game Theory)
",73,"Yes"
"23","https://www.mdpi.com/2073-4336/13/5/57",2022-07-01,2022-08-05,2022-08-18,2022-08-25,"(This article belongs to the Topic Game Theory and Applications)
",55,"Yes"
"24","https://www.mdpi.com/2073-4336/13/4/56",2022-06-17,2022-08-08,2022-08-10,2022-08-16,"",60,"No"
"25","https://www.mdpi.com/2073-4336/13/4/55",2022-06-27,2022-08-01,2022-08-02,2022-08-09,"",43,"No"
"26","https://www.mdpi.com/2073-4336/13/4/54",2022-07-13,2022-07-27,2022-07-29,2022-08-03,"(This article belongs to the Topic Game Theory and Applications)
",21,"Yes"
"27","https://www.mdpi.com/2073-4336/13/4/53",2022-05-18,2022-07-14,2022-07-26,2022-07-31,"(This article belongs to the Special Issue Political Economy, Social Choice and Game Theory",74,"Yes"
"28","https://www.mdpi.com/2073-4336/13/4/52",2022-06-28,2022-07-27,2022-07-27,2022-07-29,"(This article belongs to the Special Issue Game Theory for Cybersecurity and Privacy)
",31,"Yes"
"29","https://www.mdpi.com/2073-4336/13/4/51",2022-05-23,2022-06-27,2022-06-30,2022-07-15,"(This article belongs to the Special Issue Developing and Testing Theories of Decision Making)
",53,"Yes"
"30","https://www.mdpi.com/2073-4336/13/4/50",2022-05-31,2022-06-21,2022-06-22,2022-06-29,"(This article belongs to the Special Issue Auctions: Theory, Applications and (Lab and Field) Experiments)
",29,"Yes"
"31","https://www.mdpi.com/2073-4336/13/4/49",2022-04-19,2022-06-04,2022-06-13,2022-06-22,"",64,"No"
"32","https://www.mdpi.com/2073-4336/13/4/48",2022-04-29,2022-05-21,2022-06-08,2022-06-21,"(This article belongs to the Special Issue Political Game Theory: Coalition Formation and Dynamic Aspects of Collective Decision Making)
",53,"Yes"
"33","https://www.mdpi.com/2073-4336/13/3/47",2022-05-19,2022-06-14,2022-06-16,2022-06-20,"",32,"No"
"34","https://www.mdpi.com/2073-4336/13/3/46",2022-04-30,2022-05-30,2022-06-16,2022-06-20,"",51,"No"
"35","https://www.mdpi.com/2073-4336/13/3/45",2022-04-20,2022-05-24,2022-06-02,2022-06-10,"(This article belongs to the Special Issue Advances in the Theory and Applications of Contests and Tournaments)
",51,"Yes"
"36","https://www.mdpi.com/2073-4336/13/3/44",2022-04-16,2022-05-17,2022-05-26,2022-06-02,"(This article belongs to the Section Algorithmic and Computational Game Theory)
",47,"Yes"
"37","https://www.mdpi.com/2073-4336/13/3/43",2022-04-07,2022-04-29,2022-05-24,2022-05-31,"(This article belongs to the Section Behavioral and Experimental Game Theory)
",54,"Yes"
"38","https://www.mdpi.com/2073-4336/13/3/42",2022-05-16,2022-05-24,2022-05-30,NA,"(This article belongs to the Section Behavioral and Experimental Game Theory)
",NA,"Yes"
"39","https://www.mdpi.com/2073-4336/13/3/41",2022-03-10,2022-05-11,2022-05-19,2022-05-23,"(This article belongs to the Special Issue Economics of Motivated Beliefs)
",74,"Yes"
"40","https://www.mdpi.com/2073-4336/13/3/40",2022-03-31,2022-05-10,2022-05-19,2022-05-20,"",50,"No"
